Date, Open, High, Low, Close
06/17/24, 157.43, 157.97, 157.16, 157.74
06/14/24, 157.03, 158.28, 156.89, 157.38
06/13/24, 156.71, 157.34, 156.59, 157.02
06/12/24, 157.12, 157.44, 155.72, 156.72
06/11/24, 157.04, 157.47, 156.81, 157.13
06/10/24, 156.69, 157.19, 156.51, 157.04
06/07/24, 155.61, 157.07, 155.12, 156.65
06/06/24, 156.07, 156.44, 155.36, 155.61
06/05/24, 154.90, 156.49, 154.80, 156.12
06/04/24, 156.07, 156.49, 154.55, 154.91
06/03/24, 157.25, 157.46, 155.96, 156.07
05/31/24, 156.82, 157.36, 156.56, 157.27
05/30/24, 157.66, 157.69, 156.37, 156.82
05/29/24, 157.17, 157.78, 156.97, 157.66
05/28/24, 156.89, 157.21, 156.60, 157.18
05/27/24, 156.97, 157.04, 156.67, 156.90
05/24/24, 156.96, 157.15, 156.82, 157.00
05/23/24, 156.80, 157.20, 156.53, 156.92
05/22/24, 156.17, 156.84, 156.11, 156.81
05/21/24, 156.27, 156.54, 155.85, 156.18
05/20/24, 155.68, 156.30, 155.50, 156.27
05/17/24, 155.40, 155.98, 155.25, 155.68
05/16/24, 154.88, 155.54, 153.59, 155.40
05/15/24, 156.41, 156.56, 154.69, 154.89
05/14/24, 156.22, 156.74, 155.84, 156.42
05/13/24, 155.78, 156.31, 155.51, 156.22
05/10/24, 155.51, 155.91, 155.26, 155.75
05/09/24, 155.52, 155.96, 155.21, 155.48
05/08/24, 154.69, 155.66, 154.50, 155.54
05/07/24, 153.91, 154.75, 153.86, 154.70
05/06/24, 153.04, 154.00, 152.79, 153.92
05/03/24, 153.65, 153.79, 151.87, 153.06
05/02/24, 154.55, 156.29, 153.06, 153.62
05/01/24, 157.80, 157.99, 153.03, 154.51
04/30/24, 156.34, 157.85, 156.07, 157.80
04/29/24, 158.09, 160.16, 154.53, 156.34
04/26/24, 155.65, 158.42, 154.97, 158.34
04/25/24, 155.28, 155.74, 155.20, 155.66
04/24/24, 154.84, 155.37, 154.74, 155.35
04/23/24, 154.84, 154.88, 154.58, 154.84
04/22/24, 154.63, 154.85, 154.46, 154.84
04/19/24, 154.64, 154.68, 153.59, 154.65
04/18/24, 154.38, 154.72, 153.96, 154.65
04/17/24, 154.70, 154.76, 154.16, 154.38
04/16/24, 154.27, 154.79, 154.09, 154.72
04/15/24, 153.28, 154.46, 152.98, 154.27
04/12/24, 153.27, 153.39, 152.59, 153.28
04/11/24, 153.17, 153.32, 152.76, 153.28
04/10/24, 151.75, 153.25, 151.68, 153.17
04/09/24, 151.79, 151.94, 151.58, 151.79
04/08/24, 151.60, 151.94, 151.56, 151.84
04/05/24, 151.34, 151.75, 150.82, 151.60
04/04/24, 151.69, 151.77, 151.13, 151.34
04/03/24, 151.56, 151.95, 151.45, 151.69
04/02/24, 151.65, 151.80, 151.47, 151.55
04/01/24, 151.34, 151.76, 151.23, 151.65
03/29/24, 151.38, 151.50, 151.18, 151.33
03/28/24, 151.30, 151.55, 151.15, 151.38
03/27/24, 151.56, 151.97, 151.03, 151.32
03/26/24, 151.42, 151.60, 151.21, 151.56
03/25/24, 151.42, 151.54, 151.05, 151.41
03/22/24, 151.63, 151.87, 151.01, 151.46
03/21/24, 151.26, 151.78, 150.27, 151.63
03/20/24, 150.86, 151.85, 150.74, 151.25
03/19/24, 149.15, 150.97, 149.03, 150.86
03/18/24, 149.05, 149.33, 148.92, 149.16
03/15/24, 148.31, 149.16, 148.03, 149.08
03/14/24, 147.76, 148.36, 147.44, 148.31
03/13/24, 147.66, 148.04, 147.25, 147.75
03/12/24, 146.78, 148.10, 146.63, 147.65
03/11/24, 147.06, 147.16, 146.49, 146.95
03/08/24, 148.05, 148.12, 146.49, 147.07
03/07/24, 149.39, 149.39, 147.60, 148.04
03/06/24, 150.05, 150.09, 149.10, 149.41
03/05/24, 150.53, 150.56, 149.71, 150.05
03/04/24, 150.09, 150.57, 149.84, 150.53
03/01/24, 149.98, 150.72, 149.94, 150.13
02/29/24, 150.69, 150.70, 149.21, 149.98
02/28/24, 150.51, 150.85, 150.38, 150.68
02/27/24, 150.72, 150.72, 150.08, 150.51
02/26/24, 150.49, 150.84, 150.29, 150.70
02/23/24, 150.53, 150.78, 150.30, 150.51
02/22/24, 150.30, 150.69, 150.02, 150.53
02/21/24, 150.01, 150.41, 149.86, 150.29
02/20/24, 150.12, 150.44, 149.69, 150.00
02/19/24, 150.22, 150.28, 149.88, 150.13
02/16/24, 149.93, 150.64, 149.83, 150.20
02/15/24, 150.60, 150.60, 149.62, 149.94
02/14/24, 150.79, 150.88, 150.35, 150.60
02/13/24, 149.35, 150.89, 149.27, 150.78
02/12/24, 149.31, 149.49, 148.93, 149.35
02/09/24, 149.32, 149.59, 149.02, 149.28
02/08/24, 148.18, 149.50, 147.93, 149.32
02/07/24, 147.95, 148.26, 147.63, 148.18
02/06/24, 148.68, 148.84, 147.83, 147.94
